title,desc,date,datetime,link,site
California YIMBY Sets High Goals For Housing In 2019,"Brian Hanlon is the president and CEO of California YIMBY, a statewide organization that advocates for solutions to the housing crisis. YIMBY stands for ""yes in ...",,,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmtwYnMub3JnL25ld3MvMjAxOC9kZWMvMDMvY2FsaWZvcm5pYS15aW1ieS1zZXRzLWhpZ2gtZ29hbHMtaG91c2luZy0yMDE5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,
Approaches to housing at heart of SF state senate race – The San Francisco Examiner,Incumbent state Sen. Scott Wiener has authored and backed dozens of bills to increase housing production.,Oct 10,2020-10-10 07:00:00,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvYXBwcm9hY2hlcy10by1ob3VzaW5nLWF0LWhlYXJ0LW9mLXNmLXN0YXRlLXNlbmF0ZS1yYWNlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
"The YIMBY movement (""Yes in my back yard"") fights for renters in stupidly expensive cities like San Francisco and New York","The San Francisco Bay Area has a serious housing shortage. It also has a daunting displacement problem. For Sonja Trauss, director of the San Francisco Bay ...",,,news.google.com/./articles/CBMiQmh0dHBzOi8vcXouY29tLzk5NDczMC95ZXMtaW4tbXktYmFja3lhcmQtdGhlLWV2b2x1dGlvbi1vZi1hLXlpbWJ5L9IBRmh0dHBzOi8vcXouY29tLzk5NDczMC95ZXMtaW4tbXktYmFja3lhcmQtdGhlLWV2b2x1dGlvbi1vZi1hLXlpbWJ5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,
Planning Commission greenlights 1100 unit Balboa Reservoir project – The San Francisco Examiner,"The Balboa Reservoir project, expected to bring 1,100 units to a City-owned parking lot near City College of San Francisco, received key approvals Thursday.","May 28, 2020",2020-05-28 07:00:00,news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvcGxhbm5pbmctY29tbWlzc2lvbi1ncmVlbmxpZ2h0cy0xMTAwLXVuaXQtYmFsYm9hLXJlc2Vydm9pci1wcm9qZWN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Mayor Breed Nominates Controversial Owner of Manny's to SFMTA Board,"Cafe owner, activist, and lightning-rod for leftie quarrelling Manny Yekutiel is London Breed's new nominee for one of two empty spots on the SFMTA board.",Oct 5,2020-10-05 07:00:00,news.google.com/./articles/CBMiYGh0dHBzOi8vc2Zpc3QuY29tLzIwMjAvMTAvMDUvbWF5b3ItYnJlZWQtbm9taW5hdGVzLWNvbnRyb3ZlcnNpYWwtb3duZXItb2YtbWFubnlzLXRvLXNmbXRhLWJvYXJkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,SFist
Advocates Furious about Jane Natoli Rejection – Streetsblog San Francisco,"At its regular meeting Tuesday, the San Francisco Board of Supervisors confirmed Sharon Lai, a former city planner, for the SFMTA board. But they rejected Jane ...","Aug 20, 2020",2020-08-20 07:00:00,news.google.com/./articles/CBMiVGh0dHBzOi8vc2Yuc3RyZWV0c2Jsb2cub3JnLzIwMjAvMDgvMjAvYWR2b2NhdGVzLWZ1cmlvdXMtYWJvdXQtamFuZS1uYXRvbGktcmVqZWN0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Streetsblog San Francisco
Flying Falafel approved for Castro location after sparking,"Local falafel purveyor Flying Falafel is officially set to open in the Castro, after winning approval for a change-of-use permit before the Planning Commission last ...",,,news.google.com/./articles/CBMicWh0dHBzOi8vaG9vZGxpbmUuY29tLzIwMTkvMTAvZmx5aW5nLWZhbGFmZWwtYXBwcm92ZWQtZm9yLWNhc3Ryby1sb2NhdGlvbi1hZnRlci1zcGFya2luZy1uZWlnaGJvcmhvb2QtY29udHJvdmVyc3kv0gEA?hl=en-US&gl=US&ceid=US%3Aen,
Tenant advocates take another try at expanding rent control with Prop. 21 – The San Francisco Examiner,Measure would allow city to impose new protections on properties 15 years or older.,Oct 27,2020-10-27 07:00:00,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvdGVuYW50LWFkdm9jYXRlcy10YWtlLWFub3RoZXItdHJ5LWF0LWV4cGFuZGluZy1yZW50LWNvbnRyb2wtd2l0aC1wcm9wLTIxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Biden-Harris Win Opens Path to Federal Action on Housing,Good news is Biden has a great plan for federal action on housing. Bad news is continued obstructionism in a Republican-controlled Senate.,Nov 6,2020-11-06 08:00:00,news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnNpZ2h0bGluZS5vcmcvMjAyMC8xMS8wNi9iaWRlbi1oYXJyaXMtd2luLW9wZW5zLXBhdGgtdG8tZmVkZXJhbC1hY3Rpb24tb24taG91c2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Sightline Institute
Incumbent builds strong financial lead in crowded Palo Alto City Council race,"With two months to go until Election Day, Palo Alto City Councilman Greg Tanaka has amassed an overwhelming financial advantage over the rest of the field, ...","Sep 3, 2020",2020-09-03 07:00:00,news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LnBhbG9hbHRvb25saW5lLmNvbS9uZXdzLzIwMjAvMDkvMDMvaW5jdW1iZW50LWJ1aWxkcy1zdHJvbmctZmluYW5jaWFsLWxlYWQtaW4tY3Jvd2RlZC1wYWxvLWFsdG8tY2l0eS1jb3VuY2lsLXJhY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,Palo Alto Online
Crisis: Housing and Homelessness in California,"September 22, 2020 10:00AM - 1:15PM PDT (1:00PM - 4:15PM EDT) September 23, 2020 10:00AM - 1:45PM PDT (1:00PM - 4:45PM EDT). Location.",Sep 22,2020-09-22 07:00:00,news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LmNhdG8ub3JnL2V2ZW50cy9jcmlzaXMtaG91c2luZy1ob21lbGVzc25lc3MtY2FsaWZvcm5pYdIBAA?hl=en-US&gl=US&ceid=US%3Aen,Cato Institute
San Francisco: Can it be fixed?,"From afar, San Francisco's skyline looks pristine and thriving. But take a closer look. From how we interact with each other to vivid displays of the widening divide ...",,,news.google.com/./articles/CAIiED8Nidj_DX_2xFr-7h_nxQgqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
London Breed will be San Francisco's new mayor,Pro-housing candidate makes history as the first black woman to lead city.,,,news.google.com/./articles/CAIiEEieFZyLMABiGE0wyAhQaFoqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
Up for Growth Action Pushes for Pro-Housing Policy Ahead of 117th Congress,GlobeNewswire Inc.,Nov 18,2020-11-18 18:22:00,news.google.com/./articles/CAIiEHDqzllRA8y9IZ5CcOVRSOYqMwgEKioIACIQQrm4wrRfaVTiY_by5KwsfyoUCAoiEEK5uMK0X2lU4mP28uSsLH8wh_HIBg?hl=en-US&gl=US&ceid=US%3Aen,GlobeNewswire
'Yes In My BackYard:' Local group proposing policy changes for affordable housing in St. Pete,"On Thursday, the group, “Yes In My BackYard” St. Pete will request from city council a referral to the Housing, Land Use and Transportation Committee to ...",Nov 5,2020-11-05 08:00:00,news.google.com/./articles/CBMijAFodHRwczovL3d3dy5hYmNhY3Rpb25uZXdzLmNvbS9uZXdzL3JlZ2lvbi1waW5lbGxhcy95ZXMtaW4tbXktYmFja3lhcmQtbG9jYWwtZ3JvdXAtcHJvcG9zaW5nLXBvbGljeS1jaGFuZ2VzLWZvci1hZmZvcmRhYmxlLWhvdXNpbmctaW4tc3QtcGV0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,ABC Action News
Will the Federal Hammer Come Down on Apartment Bans?,"Federal policy could take on apartment bans, zoning laws across the US lock in high prices, segregated communities, and mega commutes.","Sep 3, 2020",2020-09-03 07:00:00,news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnNpZ2h0bGluZS5vcmcvMjAyMC8wOS8wMy9mZWRlcmFsLWhhbW1lci1vbi1hcGFydG1lbnQtYmFucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Sightline Institute
Bernal Heights housing project approved after 41 years,"""Somebody crazy not giving up"" finally wins new homes.",,,news.google.com/./articles/CAIiEFZRk_-pqeJttgA3TVvaM4YqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
Can San Francisco be saved?,"Breed's prescription is more housing—a goal that, she insists, can't be thwarted by letting “disingenuous warnings of shadows and height get in the way.",,,news.google.com/./articles/CBMiOGh0dHBzOi8vZm9ydHVuZS5jb20vbG9uZ2Zvcm0vY2FuLXNhbi1mcmFuY2lzY28tYmUtc2F2ZWQv0gE8aHR0cHM6Ly9mb3J0dW5lLmNvbS9sb25nZm9ybS9jYW4tc2FuLWZyYW5jaXNjby1iZS1zYXZlZC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,
"While the Bay Area shelters in place, construction on mansions and luxury condos continues",play_arrow,"Mar 28, 2020",2020-03-28 07:00:00,news.google.com/./articles/CAIiEJ-KSATsfZEDhC3-X6SuJu0qGAgEKg8IACoHCAowjtSUCjC30XQw78SzBg?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
What Do Georgia's Senate Runoffs Mean for Federal Action on Housing?,"Georgia's runoff election opens a clearer path toward realizing bold, federal action on housing affordability.",Jan 6,2021-01-06 08:00:00,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnNpZ2h0bGluZS5vcmcvMjAyMS8wMS8wNi93aGF0LWRvLWdlb3JnaWFzLXNlbmF0ZS1ydW5vZmZzLW1lYW4tZm9yLWZlZGVyYWwtYWN0aW9uLW9uLWhvdXNpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Sightline Institute
The YIMBY movement comes to New York City,"Open New York, the city's first self-style YIMBY group, advocates for more housing in high-opportunity areas.",,,news.google.com/./articles/CAIiEBD2iZsSggwOqq2KUa63NDwqGQgEKhAIACoHCAow65yCCzCc-_4CMJOE8wU?hl=en-US&gl=US&ceid=US%3Aen,
"Policy, politics clash as Palo Alto looks to appoint planning commissioners","The Palo Alto City Council at its March 23 meeting, where five of its seven members participated by Zoom. Photo by Gennady Sheyner. When the Palo Alto City ...",Nov 23,2020-11-23 08:00:00,news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LnBhbG9hbHRvb25saW5lLmNvbS9uZXdzLzIwMjAvMTEvMjMvcG9saWN5LXBvbGl0aWNzLWNsYXNoLWFzLXBhbG8tYWx0by1sb29rcy10by1hcHBvaW50LXBsYW5uaW5nLWNvbW1pc3Npb25lcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen,Palo Alto Online
Castro's Socialhaus ordered to cease operations in latest chapter of,"In the latest development in an ongoing conflict between business owners, neighbors, and city bureaucracy, Socialhaus owner Coco Liu and Flying Falafel's ...",,,news.google.com/./articles/CBMigAFodHRwczovL2hvb2RsaW5lLmNvbS8yMDIwLzAxL2Nhc3Ryby1zLXNvY2lhbGhhdXMtb3JkZXJlZC10by1jZWFzZS1vcGVyYXRpb25zLWluLWxhdGVzdC1jaGFwdGVyLW9mLWxvbmctcGxhbm5pbmctZGVwYXJ0bWVudC1zYWdhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,
Ladomirak leads in fundraising for school board race,"By the Daily Post staff. Newcomer Jesse Ladomirak has raised $28,034, which is $10,000 more than the other Palo Alto School Board candidates whose finance ...",Oct 23,2020-10-23 07:00:00,news.google.com/./articles/CBMiWGh0dHBzOi8vcGFkYWlseXBvc3QuY29tLzIwMjAvMTAvMjMvbGFkb21pcmFrLWxlYWRzLWluLWZ1bmRyYWlzaW5nLWZvci1zY2hvb2wtYm9hcmQtcmFjZS_SAVxodHRwczovL3BhZGFpbHlwb3N0LmNvbS8yMDIwLzEwLzIzL2xhZG9taXJhay1sZWFkcy1pbi1mdW5kcmFpc2luZy1mb3Itc2Nob29sLWJvYXJkLXJhY2UvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,The Daily Post
Sonja Trauss on how Philly can avoid becoming another San Fransico,"Pro-housing activist and Philly native Sonja Trauss on how her hometown can avoid the pitfalls of Bay Area unaffordability. Yes, it might involve more building ...",,,news.google.com/./articles/CBMiRWh0dHBzOi8vdGhlcGhpbGFkZWxwaGlhY2l0aXplbi5vcmcvc29uamEtdHJhdXNzLXBoaWxhZGVscGhpYS1ob3VzaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,
California housing bill's failure comes amid fierce debate on how to solve crisis,"Signs are posted outside of a house that was occupied by homeless women in Oakland, California, on 14 January.",,,news.google.com/./articles/CAIiEEmTk6l6cKwJpNaqstjgTD0qFggEKg4IACoGCAowl6p7MN-zCTCtvxU?hl=en-US&gl=US&ceid=US%3Aen,
Urbanism Hasn't Worked for Everyone,"In a metropolitan area bisected by highways, the Atlanta BeltLine certainly looks like a good way to undo decades of damage wrought by cars. Over the past ...","Jul 16, 2020",2020-07-16 07:00:00,news.google.com/./articles/CBMiU2h0dHBzOi8vYXJjaGl2ZS5jdXJiZWQuY29tLzIwMjAvNy8xNi8yMTMxNTY3OC9jaXR5LXJhY2lzbS11cmJhbmlzbS1hdGxhbnRhLWJlbHRsaW5l0gEA?hl=en-US&gl=US&ceid=US%3Aen,Curbed
YIMBY Georgia,"History: With a 35mm camera and black-and-white photos, Daniel Troppy captured images of homeless metro Atlantans and posted them on his Facebook page.",Oct 27,2020-10-27 07:00:00,news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmFqYy5jb20vaW5zcGlyZS95aW1ieS1nZW9yZ2lhL1NERVlNQU5aREpDWlJMSElPUVZURTc1U0NNL9IBVGh0dHBzOi8vd3d3LmFqYy5jb20vaW5zcGlyZS95aW1ieS1nZW9yZ2lhL1NERVlNQU5aREpDWlJMSElPUVZURTc1U0NNLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,Atlanta Journal Constitution
Mayor nominates SF Bicycle Coalition advocate to SFMTA board – The San Francisco Examiner,"Mayor London Breed has nominated bike advocate Jane Natoli to the San Francisco Municipal Transportation Agency Board of Directors, the mayor announced ...","Apr 16, 2020",2020-04-16 07:00:00,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvbWF5b3Itbm9taW5hdGVzLXNmLWJpY3ljbGUtY29hbGl0aW9uLWFkdm9jYXRlLXRvLXNmbXRhLWJvYXJkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
"‘Sue the suburbs’ group strikes again, attacking another Bay Area city over housing",A tiny San Francisco-based nonprofit is suing Bay Area cities that it says are illegally denying housing projects.,,,news.google.com/./articles/CBMieGh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDE5LzA4LzA0L3N1ZS10aGUtc3VidXJicy1ncm91cC1zdHJpa2VzLWFnYWluLWF0dGFja2luZy1hbm90aGVyLWJheS1hcmVhLWNpdHktb3Zlci1ob3VzaW5nL9IBfGh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDE5LzA4LzA0L3N1ZS10aGUtc3VidXJicy1ncm91cC1zdHJpa2VzLWFnYWluLWF0dGFja2luZy1hbm90aGVyLWJheS1hcmVhLWNpdHktb3Zlci1ob3VzaW5nL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,
Housing crisis fix? Proposed state law inspired by homeless Oakland moms aims to fill vacant homes,"Pedestrians pass 2928 Magnolia St. on Monday, Jan. 20, 2020, in Oakland, Calif. Previously occupied by Moms 4 Housing activists, the home may be sold to the Oakland Community Land Trust, a nonprofit organization that facilitates affordable housing, according to the Oakland Mayor's office.",,,news.google.com/./articles/CAIiEAwmPlOEEW8uR_94CKwTLn8qGQgEKhAIACoHCAowk-T4CjDyst8CMKGcxAU?hl=en-US&gl=US&ceid=US%3Aen,
Why can't California pass more housing legislation?,"In the first half of 2019, members of the California Legislature introduced roughly 200 bills that addressed the state's worsening housing crisis. By the end of May, ...",,,news.google.com/./articles/CAIiEJPF4UGJ4T7sTF8lLkSc_JAqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
Why Can't YIMBYs and Tenant Activists Get Along?,A YIMBY activist with East Bay for Everyone recently tweeted support for a yard sign (photo above) promoting a welcoming attitude toward tenants and the ...,,,news.google.com/./articles/CBMiR2h0dHBzOi8vYmV5b25kY2hyb24ub3JnL3doeS1jYW50LXlpbWJ5cy1hbmQtdGVuYW50LWFjdGl2aXN0cy1nZXQtYWxvbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,
YIMBY? Smart Growth? New Urbanism? Understand the various movements for sustainable urban planning,"If someone supports more housing in a city, are they a YIMBY? A New Urbanist? A Market Urbanist? Which is Greater Greater Washington? Articles in the ...",,,news.google.com/./articles/CBMifWh0dHBzOi8vZ2d3YXNoLm9yZy92aWV3LzczNTMyL3lpbWJ5LXNtYXJ0LWdyb3d0aC1uZXctdXJiYW5pc20tdW5kZXJzdGFuZC10aGUtdmFyaW91cy1tb3ZlbWVudHMtZm9yLXN1c3RhaW5hYmxlLXVyYmFuLXBsYW5uaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen,
YIMBYs vs. Cupertino Planning Commission | Political News | thebaycitybeacon.com,"I recently visited the City of Cupertino. I didn't go to appreciate its restaurants and parks, or to critique its low-density exclusionary zoning, or even to fantasize ...",,,news.google.com/./articles/CBMigwFodHRwczovL3d3dy50aGViYXljaXR5YmVhY29uLmNvbS9wb2xpdGljcy95aW1ieXMtdnMtY3VwZXJ0aW5vLXBsYW5uaW5nLWNvbW1pc3Npb24vYXJ0aWNsZV9mYTNkNDlmYy1hY2RmLTExZTktODJhZS0xMzUwNjg0ZTY4Y2EuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
San Francisco mayoral candidates promise more housing at debate,"Breed, Leno, and Alioto pitch housing and take aim at department heads.",,,news.google.com/./articles/CBMiWmh0dHBzOi8vc2YuY3VyYmVkLmNvbS8yMDE4LzMvNi8xNzA4NjMyNC95aW1ieS1kZWJhdGUtbWF5b3ItYnJlZWQtYWxpb3RvLWxlbm8tc2FuLWZyYW5jaXNjb9IBAA?hl=en-US&gl=US&ceid=US%3Aen,
Trauss Trounced in YIMBY Litmus Test,"""If you want to build a movement, you have to include everyone,"" said Matt Haney, who overwhelmingly won the seat of District 6 supervisor, of YIMBYs.",,,news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LnNmd2Vla2x5LmNvbS9uZXdzL3RyYXVzcy10cm91bmNlZC1pbi15aW1ieS1saXRtdXMtdGVzdC_SAUdodHRwczovL3d3dy5zZndlZWtseS5jb20vbmV3cy90cmF1c3MtdHJvdW5jZWQtaW4teWltYnktbGl0bXVzLXRlc3QvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,
"Plan to increase density, height limits in 'Hub' area wins key approval – The San Francisco Examiner",San Francisco planning officials on Thursday granted a key approval for a development plan at Market Street and Van Ness Avenue that could bring more than ...,"May 21, 2020",2020-05-21 07:00:00,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvcGxhbi10by1pbmNyZWFzZS1kZW5zaXR5LWhlaWdodC1saW1pdHMtaW4taHViLWFyZWEtd2lucy1rZXktYXBwcm92YWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
"San Francisco, it's time to treat the housing shortage like the crisis it is - Guest Opinion","Update, June 19th, 7:22PM: The Board of Supervisors voted today to postpone the vote on the ordinance until June 26th.",,,news.google.com/./articles/CBMipwFodHRwczovL3d3dy50aGViYXljaXR5YmVhY29uLmNvbS9wb2xpdGljcy9zYW4tZnJhbmNpc2NvLWl0cy10aW1lLXRvLXRyZWF0LXRoZS1ob3VzaW5nLXNob3J0YWdlLWxpa2UtdGhlLWNyaXNpcy1pdC1pcy0vYXJ0aWNsZV83OTUxNTUwNC03M2U3LTExZTgtYTM1MS0wYmI0ZjQ5ZjBmMWQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
"Why San Francisco Needs a YIMBY Ballot Measure, According to One YIMBY",Pro-development activists partner with affordable housing developers to streamline affordable housing construction. So how does it work?,,,news.google.com/./articles/CBMioQFodHRwczovL3d3dy50aGViYXljaXR5YmVhY29uLmNvbS9wb2xpdGljcy93aHktc2FuLWZyYW5jaXNjby1uZWVkcy1hLXlpbWJ5LWJhbGxvdC1tZWFzdXJlLWFjY29yZGluZy10by1vbmUteWltYnkvYXJ0aWNsZV84MWQ0MTc4MC1kM2QyLTExZTctYjc3MS1hYjdjOTBmMDU1ODMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
Inside Livable California’s fight for single-family neighborhoods,Livable California is diversifying its board and expanding its reach as it gears up for round three of fighting Sacramento's efforts to do away with single-family ...,,,news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDIwLzAxLzI2L2luc2lkZS1saXZhYmxlLWNhbGlmb3JuaWFzLWZpZ2h0LWZvci1zaW5nbGUtZmFtaWx5LW5laWdoYm9yaG9vZHPSAWxodHRwczovL3d3dy5tZXJjdXJ5bmV3cy5jb20vMjAyMC8wMS8yNi9pbnNpZGUtbGl2YWJsZS1jYWxpZm9ybmlhcy1maWdodC1mb3Itc2luZ2xlLWZhbWlseS1uZWlnaGJvcmhvb2RzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,
UCSF boosts housing targets as part of Parnassus expansion plans - San Francisco Business Times,The state's top public medical school has increased the number of housing units planned as part of its long-range development in San Francisco. On Monday ...,Jan 4,2021-01-04 08:00:00,news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5mcmFuY2lzY28vbmV3cy8yMDIxLzAxLzA0L3Vzc2YtYm9vc3RzLWhvdXNpbmctdGFyZ2V0cy1wYXJuYXNzdXMtZXhwYW5zaW9uLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Business Times
Why Gale Brewer's Opposition to Lenox Terrace Rezoning Violates The 1968 Civil Rights Act,Gale Brewer's attack on the Lenox Terrace development is a contemporary example of redlining and is a violation of the National Civil Rights Act of 1968.,,,news.google.com/./articles/CBMifmh0dHBzOi8vbmV3eW9ya3lpbWJ5LmNvbS8yMDIwLzAzL3doeS1nYWxlLWJyZXdlcnMtb3Bwb3NpdGlvbi10by1sZW5veC10ZXJyYWNlLXJlem9uaW5nLXZpb2xhdGVzLXRoZS0xOTY4LWNpdmlsLXJpZ2h0cy1hY3QuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
"Election 2020: San Francisco's Proposition E, explained","Like clockwork, it's almost Election Day in San Francisco; in fact, early voting has already started for the upcoming California primary election on March 3, 2020.",,,news.google.com/./articles/CAIiEPGsHto7TUGi6VmeY8PeTTgqGQgEKhAIACoHCAow_JyCCzDd-v4CMIWD8wU?hl=en-US&gl=US&ceid=US%3Aen,
